Name;ISIN;Symbol;Market;Trading Currency;Open;High;Low;Last;Last Date/Time;Time Zone;Volume;Turnover
PARFEX;FR0000185928;MLPFX;Euronext Access Paris;EUR;14.6;14.6;14.6;14.6;08/03/2021 16:30;CET;280;4088
PARROT;FR0004038263;PARRO;Euronext Paris;EUR;5.5;5.5;5.38;5.45;13/08/2021 17:29;CET;2495;13552.82
PARROT BSA 1;FR0013054269;PABSA;Euronext Paris;EUR;0.001;0.001;0.001;0.001;06/08/2021 11:59;CET;157;0.16
PARROT BSA 2;FR0013054335;PABSB;Euronext Paris;EUR;0.0405;0.0405;0.0405;0.0405;06/07/2021 16:18;CET;103;4.17
PART.INDLES MINI.;FR0006823092;MLHOP;Euronext Access Paris;EUR;17.6;17.6;17.6;17.6;03/06/2021 11:30;CET;3;52.8
PARX MATERIALS NV;NL0012650535;MLPRX;Euronext Access Paris;EUR;1.48;1.48;1.48;1.48;13/08/2021 11:30;CET;90;133.2
PASSAT;FR0000038465;PSAT;Euronext Paris;EUR;6.7;6.9;6.7;6.9;13/08/2021 17:35;CET;534;3578.6
PATIENTSKY GROUP;NO0010895667;PSKY;Euronext Growth Oslo;NOK;3.89;3.89;3.715;3.755;13/08/2021 16:25;CET;487589;1840452.695
PATRIMOINE ET COMM;FR0011027135;PAT;Euronext Paris;EUR;17.8;18;17.7;18;13/08/2021 14:38;CET;898;16019
PATRIS;PTPRS0AM0017;ALPTR;Euronext Growth Lisbon;EUR;6;6;6;6;20/05/2019 15:30;BST;150;900
PAULIC MEUNERIE;FR0013479730;ALPAU;Euronext Growth Paris;EUR;8.14;8.14;7.88;7.96;13/08/2021 16:56;CET;1091;8730.12
PAYTON PLANAR;IL0010830391;PAY;Euronext Brussels;EUR;8.3;8.3;8.3;8.3;13/08/2021 16:30;CET;50;415
PB FINANCE;BE0003640514;-;Euronext Expert Market;EUR;0.12;0.12;0.12;0.12;24/11/2015 11:30;CET;39981;4797.72
PCAS;FR0000053514;PCA;Euronext Paris;EUR;13.1;13.1;12.8;13;13/08/2021 15:50;CET;3475;44876.5
