,Company,Symbol,Country,Class of Share,Traded Currency,Primary listing,Valor Number,Ticker,sector,industry,ebitdaMargins,profitMargins,revenueGrowth,operatingMargins,returnOnAssets,recommendationKey,recommendationMean,debtToEquity,totalCashPerShare,quickRatio,exchange,beta,enterpriseToEbitda,enterpriseToRevenue,bookValue,earningsQuarterlyGrowth,forwardPE,mostRecentQuarter,logo_url
172,PolyPeptide Group AG,PPGN,CH,Registered Share,CHF,True,111076085,PPGN.SW,Healthcare,Drug Manufacturers—Specialty & Generic,0.30997,0.17568001,0.561,0.25799,,none,,14.534,5.672,1.978,EBS,,50.113,15.533,,2.144,,2021-06-30,https://logo.clearbit.com/polypeptide.com
173,Polyphor AG,POLN,CH,Registered Share,CHF,True,10621379,POLN.SW,Healthcare,Biotechnology,-2.9087899,0.0,2009.0,-2.9689002,-0.37972,none,,68.46,3.104,1.906,EBS,1.364749,0.086,-0.25,1.22,,,2020-12-31,https://logo.clearbit.com/polyphor.com
174,Private Equity Holding AG,PEHN,CH,Registered Share,CHF,True,608992,PEHN.SW,Financial Services,Asset Management,0.0,0.0,,1.7125701,-0.00649,none,,26.765,0.073,0.036,EBS,0.416943,,-158.274,83.428,,,2020-09-30,https://logo.clearbit.com/peh.ch
175,PSP Swiss Property AG,PSPN,CH,Registered Share,CHF,True,1829415,PSPN.SW,Real Estate,Real Estate—Diversified,0.73275,0.85412,0.523,0.73072,0.02112,none,,67.203,0.66,0.117,EBS,0.144518,28.834,21.128,98.263,0.853,28.453863,2021-03-31,https://logo.clearbit.com/psp.info
176,RELIEF THERAPEUTICS Holding AG,RLF,CH,Registered Share,CHF,True,10019113,RLF.SW,Healthcare,Biotechnology,0.0,0.0,0.761,-70.926735,-0.24721001,none,,1.329,0.011,5.725,EBS,-22.862598,-24.888,1765.168,0.021,,,2020-12-31,https://logo.clearbit.com/relieftherapeutics.com
177,Rieter Holding AG,RIEN,CH,Registered Share,CHF,True,367144,RIEN.SW,Industrials,Specialty Industrial Machinery,0.00682,-0.041890003,0.571,-0.03827,-0.016649999,none,,48.025,62.868,0.849,EBS,1.347206,168.502,1.149,78.499,,16.251019,2021-06-30,https://logo.clearbit.com/rieter.com
178,Roche Holding AG,ROG,CH,Dividend Right Certificate,CHF,True,1203204,ROG.SW,Healthcare,Drug Manufacturers—General,0.39603,0.23688999,-0.064,0.32641998,0.14548999,none,,38.747,14.468,0.946,EBS,0.273079,12.581,4.982,42.597,0.274,,2020-12-31,https://logo.clearbit.com/roche.com
179,Roche Holding AG,RO,CH,Bearer Share,CHF,True,1203211,RO.SW,Healthcare,Drug Manufacturers—General,0.39603,0.23688999,-0.064,0.32641998,0.14548999,none,,38.747,14.468,0.946,EBS,0.273079,13.652,5.407,42.597,0.274,,2020-12-31,https://logo.clearbit.com/roche.com
180,Romande Energie Holding SA,HREN,CH,Registered Share,CHF,True,2560733,HREN.SW,Utilities,Utilities—Renewable,0.19975,0.08796,0.047,0.09983,,none,,9.302,261.919,2.21,EBS,0.171428,10.839,2.165,1768.949,1.888,,2020-06-30,https://logo.clearbit.com/romande-energie.ch
181,Royal Bank of Canada,RY,CA,Registered Share,CHF,False,699232,RY.SW,Financial Services,Banks—Diversified,0.0,0.31743,0.086,0.43449003,0.00912,none,,,488.495,,EBS,0.790196,,-4.064,60.044,0.343,,2021-07-31,https://logo.clearbit.com/rbc.com
182,Santhera Pharmaceuticals Holding AG,SANN,CH,Registered Share,CHF,True,2714864,SANN.SW,Healthcare,Biotechnology,-2.34242,0.0,-0.873,-2.57303,-0.23692,none,,,0.685,0.581,EBS,1.099159,-2.886,6.76,-0.35,,0.32360515,2020-12-31,https://logo.clearbit.com/santhera.com
183,Schaffner Holding AG,SAHN,CH,Registered Share,CHF,True,906209,SAHN.SW,Technology,Electronic Components,0.099350005,0.03869,0.024,0.063200004,0.049489997,none,,56.085,43.375,1.662,EBS,0.931584,10.985,1.091,99.719,7.212,15.954416,2021-03-31,https://logo.clearbit.com/schaffner.com
184,Schindler Holding AG,SCHP,CH,Participation Certificate,CHF,True,2463819,SCHP.SW,Industrials,Specialty Industrial Machinery,0.12494001,0.07503,0.063,0.10421,0.06534,none,,,22.569,0.441,EBS,0.590934,21.566,2.694,34.599,0.704,,2021-03-31,https://logo.clearbit.com/schindler.com
185,Schindler Holding AG,SCHN,CH,Registered Share,CHF,True,2463821,SCHN.SW,Industrials,Specialty Industrial Machinery,0.12494001,0.07503,0.063,0.10421,0.06534,none,,,22.569,0.441,EBS,0.590934,20.718,2.588,34.599,0.704,27.974,2021-03-31,https://logo.clearbit.com/schindler.com
186,Schlatter Industries AG,STRN,CH,Registered Share,CHF,True,227731,STRN.SW,Industrials,Specialty Industrial Machinery,0.01742,0.0043099998,0.224,0.0035299999,0.00322,none,,33.037,6.061,1.013,EBS,0.712656,20.853,0.363,21.2,,,2021-06-30,https://logo.clearbit.com/schlattergroup.com
187,Schweiter Technologies AG,SWTQ,CH,Bearer Share,CHF,True,1075492,SWTQ.SW,Industrials,Specialty Industrial Machinery,0.14059,0.08922,0.061,0.11602,0.07828,none,,5.186,114.339,2.04,EBS,0.903261,11.222,1.578,515.448,1.537,23.095737,2020-12-31,https://logo.clearbit.com/schweiter.ch
