,Company,Symbol,Country,Class of Share,Traded Currency,Primary listing,Valor Number,Ticker,sector,industry,ebitdaMargins,profitMargins,revenueGrowth,operatingMargins,returnOnAssets,recommendationKey,recommendationMean,debtToEquity,totalCashPerShare,quickRatio,exchange,beta,enterpriseToEbitda,enterpriseToRevenue,bookValue,earningsQuarterlyGrowth,forwardPE,mostRecentQuarter,logo_url
235,VP Bank AG,VPBN,LI,Registered Share,CHF,True,31548726,VPBN.SW,Financial Services,Banks—Regional,0.0,0.17816,0.007,0.19681999,0.00422,none,,,492.791,,EBS,0.507981,,-5.655,169.408,1.083,9.545005,2021-06-30,https://logo.clearbit.com/vpbank.com
236,VZ Holding AG,VZN,CH,Registered Share,CHF,True,52875158,VZN.SW,Financial Services,Asset Management,0.43581,0.35696998,0.09,0.41806,0.01901,none,,153.455,44.804,0.471,EBS,0.158098,16.293,7.101,15.695,0.139,7.0046077,2020-12-31,https://logo.clearbit.com/vermoegenszentrum.ch
237,Walliser Kantonalbank,WKBN,CH,Registered Share,CHF,True,30595120,WKBN.SW,Financial Services,Banks—Regional,0.0,0.29405,0.013,0.30952,0.00377,none,,,208.134,,EBS,0.1507,,17.972,88.148,0.013,,2021-06-30,https://logo.clearbit.com/bcvs.ch
238,Warteck Invest AG,WARN,CH,Registered Share,CHF,True,261948,WARN.SW,Real Estate,Real Estate Services,0.72989,0.75294995,0.031,0.72823,0.01943,none,,93.308,7.838,0.019,EBS,0.203142,37.618,27.457,1642.715,-0.196,,2020-12-31,https://logo.clearbit.com/warteck-invest.ch
239,WISeKey International Holding Ltd,WIHN,CH,Registered Share,CHF,True,31402927,WIHN.SW,Technology,Semiconductors,-1.163,-1.9391701,-0.337,-1.27072,-0.22839001,none,,117.635,0.449,1.301,EBS,1.629418,-4.186,4.869,0.32,,-5.9047623,2020-12-31,https://logo.clearbit.com/wisekey.com
240,Youngtimers AG,YTME,CH,Bearer Share,CHF,True,632685,YTME.SW,,,,,,,,,,,,,EBS,,,,,,,No info,
241,Ypsomed Holding AG,YPSN,CH,Registered Share,CHF,True,1939699,YPSN.SW,Healthcare,Medical Instruments & Supplies,0.09125,0.014400001,0.003,0.0068,0.00246,none,,54.377,1.773,0.349,EBS,0.943615,53.282,4.862,31.273,,,2021-03-31,https://logo.clearbit.com/ypsomed.com
242,Zehnder Group AG,ZEHN,CH,Registered Share,CHF,True,27653461,ZEHN.SW,Industrials,Building Products & Equipment,0.14035,0.08596,0.229,0.10526,0.08886,none,,3.027,10.4,1.744,EBS,0.979797,11.045,1.55,26.849,1.618,54.12371,2021-06-30,https://logo.clearbit.com/zehndergroup.com
243,Zimmer Biomet Holdings Inc.,ZBH,US,Registered Share,CHF,False,1262932,ZBH.SW,Healthcare,Medical Devices,0.28146,0.08009,0.036,0.13354999,0.02388,none,,63.085,3.475,1.007,EBS,1.349836,20.296,5.713,59.717,,,2021-03-31,https://logo.clearbit.com/zimmerbiomet.com
244,Züblin Immobilien Holding AG,ZUBN,CH,Registered Share,CHF,True,31230968,ZUBN.SW,Real Estate,Real Estate Services,0.62694,0.43866003,-0.05,0.62181,0.0159,none,,50.031,0.675,0.331,EBS,0.191919,27.189,17.046,40.331,9.03,,2021-03-31,https://logo.clearbit.com/zueblin.ch
245,Zug Estates Holding AG,ZUGN,CH,Registered Share,CHF,True,14805212,ZUGN.SW,Real Estate,Real Estate—Diversified,0.35077,0.22978,-0.582,0.32746,0.01751,none,,64.642,33.724,0.366,EBS,0.434494,32.276,11.322,1795.014,-0.52,26.639345,2020-12-31,https://logo.clearbit.com/zugestates.ch
246,Zuger Kantonalbank AG,ZUGER,CH,Registered Share,CHF,True,49389124,ZUGER.SW,Financial Services,Banks—Regional,0.0,0.33055001,0.041,0.37455,0.00437,none,,,42.84,,EBS,0.198092,,33.572,4746.429,0.002,,2021-06-30,https://logo.clearbit.com/zugerkb.ch
247,Zur Rose Group AG,ROSE,CH,Registered Share,CHF,True,4261528,ROSE.SW,Healthcare,Pharmaceutical Retailers,-0.07328,-0.09187999,0.134,-0.08194,-0.06664,none,,99.031,31.444,2.748,EBS,0.431711,-31.89,2.337,55.553,,-92.09876,2020-12-31,https://logo.clearbit.com/zurrosegroup.com
248,Zurich Insurance Group AG,ZURN,CH,Registered Share,CHF,True,1107539,ZURN.SW,Financial Services,Insurance—Diversified,0.10735,0.067930005,0.55,0.103819996,0.010980001,none,,45.42,128.667,0.977,EBS,0.664766,7.504,0.806,257.771,0.857,,2021-06-30,https://logo.clearbit.com/zurich.com
249,Zwahlen & Mayr SA,ZWM,CH,Bearer Share,CHF,True,266173,ZWM.SW,Basic Materials,Steel,0.01239,-0.03996,-0.228,-0.0395,-0.01898,none,,13.59,73.39,1.85,EBS,-0.064784,25.087,0.311,543.504,,,2020-12-31,https://logo.clearbit.com/zwahlen.ch
